ID,year,从业人数,资产总额,负债总额,营业总收入,主营业务收入,利润总额,净利润,纳税总额,所有者权益合计
28,2015,794,16400,28700,72160,28864,7216,-7216,0,-12300
28,2016,396,73800,71750,346860,173430,173430,-34686,0,2050
28,2017,393,82000,159900,172200,103320,17220,-17220,0,-77900
230,2015,485,23520,10080,115248,57624,57624,-11524.8,0,13440
230,2016,365,53760,50400,155904,124723.2,46771.2,-15590.4,0,3360
230,2017,592,151200,221760,30240,15120,15120,-3024,0,-70560
429,2015,136,193400,183730,502840,351988,NA,-50284,0,9670
429,2016,678,531850,783270,1329625,531850,132962.5,-132962.5,0,-251420
429,2017,532,348120,338450,1322856,925999.2,396856.8,-132285.6,0,9670
693,2015,534,133760,125400,655424,262169.6,196627.2,-65542.4,0,8360
693,2016,366,41800,66880,183920,91960,36784,-18392,0,-25080
693,2017,760,100320,45980,321024,128409.6,160512,-32102.4,0,54340
727,2015,375,366240,536280,402864,282004.8,161145.6,-40286.4,0,-170040
727,2016,872,130800,183120,483960,241980,48396,-48396,0,-52320
727,2017,584,697600,1033320,2511360,1004544,502272,-251136,0,-335720
990,2015,863,33760,25320,145168,58067.2,14516.8,-14516.8,0,8440
990,NA,177,16880,4220,75960,30384,7596,-7596,0,12660
990,2017,880,75960,101280,372204,260542.8,37220.4,-37220.4,0,-25320
